Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"Benes, Melody  A",09/22/2020 to 09/23/2020,C7E,09/23/20,Stripe,,,,510 Townsend Street ,San Fransico,CA,94103,,All Other Expenditures,4.65,Service Fee (Swanson Donation),Primary,Swipe Software,,,,,,
"Benes, Melody  A",09/22/2020 to 09/23/2020,C7E,09/23/20,Stripe INC,,,,510 Townsend Street ,San Fransico,CA,94103,,All Other Expenditures,3.2,Service Fee (Sugich Donation),Primary,,,,,,,
"Benes, Melody  A",09/22/2020 to 09/23/2020,C7E,09/23/21,Stripe INC,,,,510 Townsend Street ,San Fransico,CA,94103,,All Other Expenditures,1.32,Service Fee (Peskin Donation),Primary,,,,,,,
"Benes, Melody  A",05/21/2020 to 06/21/2020,C5,05/21/2020,WIX.COM/INC,,,WIX.com/Inc,235 W 23rd street,New York,NY,10011,,2,189.9,Candidate website and domain,GN,,,,WIX.COM,candidate website that is open from May 2020 to May 2021,candidates information and issues,
"Olsen, Andrea",03/06/2021 to 11/06/2021,C5,11/05/2021,Montana Educators Credit Union,,,Montana Educators Credit Union,2000 S Russell St,Missoula,MT,59801,,2,894.6,Transfer surplus campaign funds to constituent account,GN,,,,,,,N
"Olsen, Andrea",09/16/2020 to 10/14/2020,C5,10/05/2020,,Shane,A,Morigeau,P O Box 1733,Missoula,MT,59806,,2,100.0,Campaign contribution - MT State Auditor,GN,,,,,,,
"Olsen, Andrea",09/16/2020 to 10/14/2020,C5,10/05/2020,,Melissa,,Romano,PO Box 6985,Helena,MT,59604,,2,100.0,Campaign contribution - MT Superintendant of Public Instruction,GN,,,,,,,
"Olsen, Andrea",09/16/2020 to 10/14/2020,C5,10/05/2020,,Mike,R,Cooney,713 Pyrite Court,Helena,MT,59601,,2,100.0,Campaign contribution - MT Governor,GN,,,,,,,
"Olsen, Andrea",09/16/2020 to 10/14/2020,C5,10/18/2020,,Bryce,,Bennett,PO Box 372,Milltown,MT,59851,,2,100.0,Campaign contribution - MT Secretary of State,GN,,,,,,,
"Olsen, Andrea",09/16/2020 to 10/14/2020,C5,10/05/2020,,Andre,,Floyd,P O Box 8222,Missoula,MT,59807,,2,200.0,Music for GOTV event on 10/19/2020,GN,,,,,,,
