Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"NORDWICK, SUZZANN",06/02/2024 to 06/04/2024,C7E,06/03/24,Field and Streets Strategies,,,,1633 Main Street,Billings,MT,59105,,All Other Expenditures,1187.41,GOTV Text Messages,Primary,,,,,,,
"NORDWICK, SUZZANN",05/28/2024 to 05/30/2024,C7E,05/28/24,Field and Streets Strategies,,,,1633 Main Street,Billings,MT,59105,,All Other Expenditures,10542.65,Mailer,Primary,,,Targeted election day primary voters ,,,,
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/23/2024,Constant Contact,,,Constant Contact,1601 Trapelo Rd,Waltham,MA,2451,,2,35.0,EMAIL SERVICE - monthly fee,PM,,,,,,,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/28/2024,Field and Streets Strategies,,,,1633 Main Street,Billings,MT,59105,,2,10542.65,Mailer,PM,,,,,,Targeted election day primary voters ,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/22/2024,Truth be Told news,,,TRUTH be TOLD news,409 Skyridge Dr,Hamiton,MT,59840,,2,345.0,half page ad,PM,,,,,,,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/20/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,109.99,Campaign Postcards,PM,,,,,500.0,,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/21/2024,Anaconda Leader,,,,121 Main Street,Anaconda,MT,59711,,2,120.0,2 ads,PM,,,,,,,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/28/2024,Anaconda Leader,,,,121 Main Street,Anaconda,MT,59711,,2,120.0,2 ads,PM,,,,,,,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/16/2024,Anaconda Leader,,,,121 Main Street,Anaconda,MT,59711,,2,60.0,Ad,PM,,,,,,,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,06/03/2024,Field and Streets Strategies,,,,1633 Main Street,Billings,MT,59105,,2,1187.41,GOTV Text Messages,PM,,,,,,,N
"NORDWICK, SUZZANN",05/15/2024 to 06/15/2024,C5,05/23/2024,APG Yellowstone Media,,,,4095 Coon Rapids Blvd,Minneapolis,MN,55433,,2,340.5,1/4 page color ad,PM,,,,,,,N
"NORDWICK, SUZZANN",04/16/2024 to 05/14/2024,C5,04/26/2024,RepublicanSigns.com,,,,2251 Dick George Road,Cave Junction,OR,97523,,2,235.0,"18"" X 24"" Yard Signs, with wire H-Frames",PM,,,,,50.0,,N
"NORDWICK, SUZZANN",04/16/2024 to 05/14/2024,C5,04/26/2024,RepublicanSigns.com,,,,2251 Dick George Road,Cave Junction,OR,97523,,2,456.41,"32""x48"" Field Signs",PM,,,,,24.0,,N
"NORDWICK, SUZZANN",04/16/2024 to 05/14/2024,C5,05/13/2024,Field and Streets Strategies,,,,1633 Main Street,Billings,MT,59105,,2,18000.0,Digital Ad Campaign ,PM,,,,,,,N
"NORDWICK, SUZZANN",04/16/2024 to 05/14/2024,C5,04/27/2024,WinRed,,,,1776 Wilson Blvd. Suite 530,Arlington,VA,22209,,2,8.04,Processing Fees ,PM,,,,,,,N
"NORDWICK, SUZZANN",04/16/2024 to 05/14/2024,C5,05/08/2024,Field and Streets Strategies,,,,1633 Main Street,Billings,MT,59105,,2,16140.45,Primary Absentee mailing,PM,,,,,,,N
"NORDWICK, SUZZANN",04/16/2024 to 05/14/2024,C5,05/14/2024,Yogo Inn,,,,211 E Main,Lewistown,MT,59457,,2,119.79,Lodging,PM,,,,,,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,04/14/2024,Jefferson County Republican Central Committee,,,,21 Crazy Mountain Drive,Clancy,MT,59634,,2,50.0,Candidate Table,PM,,,,,1.0,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,04/13/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,109.99,6x4 Postcards - two views,PM,,,,,500.0,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,03/25/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,13.7,Stickers,PM,,,,,20.0,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,03/25/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,53.45,Business cards,PM,,,,,2000.0,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,03/25/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,150.8,Postcards (6x4inch),PM,,,,,1000.0,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,03/29/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,136.0,Gloss Vinyl 4'x3' Banner (4 Grommets),PM,,,,,2.0,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,04/04/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,174.99,Printer & Ink Cartridges,PM,,,,,,,N
"NORDWICK, SUZZANN",03/16/2024 to 04/15/2024,C5,04/09/2024,Ace Hardware,,,,2607 Harrison Ave,Butte,MT,59701,,2,74.22,Materials for Sign Stands,PM,,,,,,,N
"NORDWICK, SUZZANN",02/01/2024 to 03/15/2024,C5,02/01/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,153.3,Printing,PM,,,,HANDCARDS,1000.0,print,N
"NORDWICK, SUZZANN",02/01/2024 to 03/15/2024,C5,02/13/2024,Facebook,,,,1 Hacker Way,Menlo Park,CA,94025,,2,34.74,FACEBOOK AD AND POST BOOSTING,PM,,,,,,,N
"NORDWICK, SUZZANN",02/01/2024 to 03/15/2024,C5,02/14/2024,Staples,,,,3636 Harrison Ave,Butte,MT,59701,,2,89.99,"POSTCARD SIZED WALKING CARDS (500) W/PIC,  & CAMPAIGN INFO",PM,,,,,,,N
