Candidate,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Expenditure Type,Amount,Purpose,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment
"Stansberry, Rachel",10/25/2018 to 11/21/2018,C5,11/21/2018,Democracy Requires Participation,,,,PO Box 305,Lewistown,MT,59457.0,,2,200.0,Donation to local organization for civics education. ,GN,,,,
"Stansberry, Rachel",10/25/2018 to 11/21/2018,C5,11/14/2018,Lewistown News Argus ,,,,521 W. Main,Lewistown,MT,59457.0,,2,133.2,"Ads on November 3, same as previous Ad on Oct 31. The  November  7 said Thanks for support. No new information, no mention of opponent. .",GN,,,,
"Stansberry, Rachel",10/25/2018 to 11/21/2018,C5,11/21/2018,Fergus County Democratic Central Committee,,,,PO Box 525,Lewistown,MT,59457.0,,2,284.12,DONATION TO CENTRAL COMMITTEE,GN,,,,
"Stansberry, Rachel",10/25/2018 to 11/21/2018,C5,12/01/2018,MontPirg,,,,141 Corbin Hall,Missoula,MT,59812.0,,2,21.0,Donation of remaining campaign funds,GN,,,,
"Stansberry, Rachel",10/25/2018 to 11/21/2018,C5,11/20/2018,,Lois,,Shelden,206 W. Boulevard,Lewistown,MT,59457.0,,2,75.0,3 photographs of candidate used for Newspaper Ads in October and November.,GN,,,,
"Stansberry, Rachel",10/25/2018 to 11/21/2018,C5,11/20/2018,,Stephanie,,Simpson,911 8th Ave N,Lewistown,MT,59457.0,,2,100.0,Cleaning  and Maintenance of the Campaign Office,GN,,,,
"Stansberry, Rachel",10/02/2018 to 10/24/2018,C5,10/24/2018,Roundup Record Tribune ,,,,24 Main Street  PO Box 350,Roundup ,MT,59072.0,,2,77.0,"Run Ads on 10-24 and 10-31 ""you're never too old to vote. Rachel Stansberry cares about",GN,,,,
"Stansberry, Rachel",10/02/2018 to 10/24/2018,C5,10/05/2018,Cartridge Depot,,,,203 3rd Ave. N,Lewistown,MT,59457.0,,2,20.15,50 sheets (30 labels per sheet)  of Mailing labels and pen for mailing walk card,GN,,,,
"Stansberry, Rachel",10/02/2018 to 10/24/2018,C5,10/06/2018,Cartridge Depot,,,,203 3rd Ave. N,Lewistown,MT,59457.0,,2,8.25,25 sheets (30 labels per) mailing labels for mailing walk card. ,GN,,,,
"Stansberry, Rachel",10/02/2018 to 10/24/2018,C5,10/05/2018,,William A.,,Turk,611 NE Main,Lewistown,MT,59457.0,,2,250.0,Office Rental for October 6-November 6,GN,,,,
